index,trading_date,total_turnover,basis_spread,volume,low,close,open,limit_up,limit_down,open_interest,high
2014-11-27 10:00:00,2014-11-27,4067055000.0,,86060.0,471.313,472.326,473.934,481.615,445.263,1795604.0,474.306
2014-11-27 10:15:00,2014-11-27,941054000.0,,19906.0,471.327,472.037,472.326,481.621,445.285,1795410.0,472.957
2014-11-27 10:45:00,2014-11-27,1794719200.0,,38038.0,470.409,471.941,472.037,481.619,445.27,1789708.0,472.326
2014-11-27 11:00:00,2014-11-27,997332200.0,,21178.0,470.94,471.939,471.941,481.599,445.269,1786792.0,472.23
2014-11-27 11:15:00,2014-11-27,691986200.0,,14700.0,470.306,470.306,471.857,481.598,445.262,1786606.0,472.23
2014-11-27 11:30:00,2014-11-27,2439436600.0,,51942.0,469.02,469.847,470.309,481.597,445.255,1794280.0,471.935
2014-11-27 13:45:00,2014-11-27,1622459600.0,,34476.0,469.846,471.213,469.847,481.583,445.25,1797892.0,471.841
2014-11-27 14:00:00,2014-11-27,2760602400.0,,58598.0,470.853,470.853,471.841,481.593,445.25,1788492.0,472.771
2014-11-27 14:15:00,2014-11-27,2002669200.0,,42390.0,470.635,471.553,470.935,481.6,445.257,1776494.0,472.562
2014-11-27 14:30:00,2014-11-27,5476530000.0,,115352.0,470.928,474.714,471.553,481.593,445.237,1787760.0,475.711
2014-11-27 14:45:00,2014-11-27,19755640000.0,,412468.0,473.929,481.322,475.011,481.668,445.256,1715522.0,481.41
2014-11-27 15:00:00,2014-11-27,6911430200.0,,141340.0,480.609,481.524,481.319,481.661,445.2,1715064.0,481.64
2014-11-28 09:15:00,2014-11-28,23357393600.0,,482636.0,479.418,485.68,480.581,501.353,447.214,1675246.0,487.382
2014-11-28 09:30:00,2014-11-28,4876603600.0,,100612.0,482.763,483.765,485.766,501.362,447.254,1661456.0,485.766
2014-11-28 09:45:00,2014-11-28,2424982200.0,,50062.0,482.065,483.065,483.766,501.362,447.256,1658726.0,484.691
2014-11-28 10:00:00,2014-11-28,4030858800.0,,83098.0,482.77,484.699,483.394,501.371,447.259,1664466.0,486.699
2014-11-28 10:15:00,2014-11-28,3836507600.0,,79154.0,482.396,483.393,485.321,501.372,447.248,1663138.0,485.406
2014-11-28 10:45:00,2014-11-28,1322669200.0,,27464.0,481.755,482.674,483.462,501.348,447.239,1661612.0,483.462
