index,trading_date,total_turnover,low,limit_down,limit_up,high,basis_spread,volume,close,open,open_interest
2015-03-20 01:45:00,2015-03-20,0.0,12555.0,11800.0,13305.0,12555.0,,0.0,12555.0,12555.0,228748.0
2015-03-20 02:00:00,2015-03-20,0.0,12555.0,11800.0,13305.0,12555.0,,0.0,12555.0,12555.0,228748.0
2015-03-20 02:15:00,2015-03-20,0.0,12555.0,11800.0,13305.0,12555.0,,0.0,12555.0,12555.0,228748.0
2015-03-20 02:30:00,2015-03-20,0.0,12555.0,11800.0,13305.0,12555.0,,0.0,12555.0,12555.0,228748.0
2015-03-20 09:15:00,2015-03-20,4244897300.0,12565.0,11800.0,13305.0,12620.0,,33712.0,12575.0,12580.0,233052.0
2015-03-20 09:30:00,2015-03-20,2340167100.0,12550.0,11800.0,13305.0,12620.0,,18596.0,12615.0,12570.0,233554.0
2015-03-20 09:45:00,2015-03-20,2437524000.0,12565.0,11800.0,13305.0,12630.0,,19350.0,12580.0,12620.0,232966.0
2015-03-20 10:00:00,2015-03-20,732222700.0,12565.0,11800.0,13305.0,12585.0,,5822.0,12585.0,12580.0,232966.0
2015-03-20 10:15:00,2015-03-20,962491800.0,12565.0,11800.0,13305.0,12600.0,,7648.0,12590.0,12585.0,232470.0
2015-03-20 10:45:00,2015-03-20,788852100.0,12575.0,11800.0,13305.0,12600.0,,6268.0,12585.0,12595.0,233000.0
2015-03-20 11:00:00,2015-03-20,1993540000.0,12535.0,11800.0,13305.0,12590.0,,15870.0,12540.0,12590.0,234326.0
2015-03-20 11:15:00,2015-03-20,4292791200.0,12490.0,11800.0,13305.0,12550.0,,34300.0,12520.0,12545.0,236540.0
2015-03-20 11:30:00,2015-03-20,3279971400.0,12450.0,11800.0,13305.0,12525.0,,26284.0,12460.0,12520.0,237778.0
2015-03-20 13:45:00,2015-03-20,4451604300.0,12405.0,11800.0,13305.0,12490.0,,35770.0,12425.0,12470.0,242706.0
2015-03-20 14:00:00,2015-03-20,2173151000.0,12420.0,11800.0,13305.0,12465.0,,17466.0,12455.0,12425.0,241640.0
2015-03-20 14:15:00,2015-03-20,2460002200.0,12440.0,11800.0,13305.0,12480.0,,19738.0,12480.0,12450.0,240242.0
2015-03-20 14:30:00,2015-03-20,2210160900.0,12455.0,11800.0,13305.0,12505.0,,17704.0,12495.0,12480.0,237162.0
2015-03-20 14:45:00,2015-03-20,4410406800.0,12490.0,11800.0,13305.0,12570.0,,35188.0,12540.0,12500.0,231230.0
2015-03-20 15:00:00,2015-03-20,3966498900.0,12535.0,11800.0,13305.0,12585.0,,31584.0,12560.0,12545.0,224660.0
2015-03-20 21:15:00,2015-03-23,4201836300.0,12580.0,11775.0,13280.0,12650.0,,33310.0,12635.0,12610.0,224460.0
2015-03-20 21:30:00,2015-03-23,2106352000.0,12635.0,11775.0,13280.0,12670.0,,16644.0,12650.0,12635.0,224408.0
2015-03-20 21:45:00,2015-03-23,997871200.0,12620.0,11775.0,13280.0,12655.0,,7898.0,12625.0,12645.0,224522.0
2015-03-20 22:00:00,2015-03-23,1210539200.0,12610.0,11775.0,13280.0,12650.0,,9586.0,12645.0,12625.0,223972.0
2015-03-20 22:15:00,2015-03-23,748443400.0,12635.0,11775.0,13280.0,12660.0,,5918.0,12650.0,12650.0,224554.0
2015-03-20 22:30:00,2015-03-23,1036402100.0,12630.0,11775.0,13280.0,12660.0,,8194.0,12660.0,12650.0,225138.0
2015-03-20 22:45:00,2015-03-23,2816833100.0,12650.0,11775.0,13280.0,12710.0,,22210.0,12685.0,12660.0,227370.0
2015-03-20 23:00:00,2015-03-23,3822499900.0,12680.0,11775.0,13280.0,12780.0,,29998.0,12775.0,12685.0,225632.0
2015-03-20 23:15:00,2015-03-23,1532700.0,12770.0,11775.0,13280.0,12770.0,,12.0,12770.0,12770.0,225636.0
2015-03-20 23:30:00,2015-03-23,0.0,12770.0,11775.0,13280.0,12770.0,,0.0,12770.0,12770.0,225636.0
2015-03-20 23:45:00,2015-03-23,0.0,12770.0,11775.0,13280.0,12770.0,,0.0,12770.0,12770.0,225636.0
2015-03-21 00:00:00,2015-03-23,0.0,12770.0,11775.0,13280.0,12770.0,,0.0,12770.0,12770.0,225636.0
2015-03-21 00:15:00,2015-03-23,0.0,12770.0,11775.0,13280.0,12770.0,,0.0,12770.0,12770.0,225636.0
2015-03-21 00:30:00,2015-03-23,0.0,12770.0,11775.0,13280.0,12770.0,,0.0,12770.0,12770.0,225636.0
2015-03-21 00:45:00,2015-03-23,0.0,12770.0,11775.0,13280.0,12770.0,,0.0,12770.0,12770.0,225636.0
2015-03-21 01:00:00,2015-03-23,0.0,12770.0,11775.0,13280.0,12770.0,,0.0,12770.0,12770.0,225636.0
2015-03-21 01:15:00,2015-03-23,0.0,12770.0,11775.0,13280.0,12770.0,,0.0,12770.0,12770.0,225636.0
2015-03-21 01:30:00,2015-03-23,0.0,12770.0,11775.0,13280.0,12770.0,,0.0,12770.0,12770.0,225636.0
2015-03-21 01:45:00,2015-03-23,0.0,12770.0,11775.0,13280.0,12770.0,,0.0,12770.0,12770.0,225636.0
2015-03-21 02:00:00,2015-03-23,0.0,12770.0,11775.0,13280.0,12770.0,,0.0,12770.0,12770.0,225636.0
2015-03-21 02:15:00,2015-03-23,0.0,12770.0,11775.0,13280.0,12770.0,,0.0,12770.0,12770.0,225636.0
2015-03-21 02:30:00,2015-03-23,0.0,12770.0,11775.0,13280.0,12770.0,,0.0,12770.0,12770.0,225636.0
2015-03-23 09:15:00,2015-03-23,10457097800.0,12745.0,11775.0,13280.0,12860.0,,81648.0,12755.0,12785.0,230342.0
2015-03-23 09:30:00,2015-03-23,4043920100.0,12750.0,11775.0,13280.0,12850.0,,31584.0,12840.0,12755.0,231606.0
2015-03-23 09:45:00,2015-03-23,5463037400.0,12810.0,11775.0,13280.0,12895.0,,42480.0,12850.0,12845.0,230762.0
2015-03-23 10:00:00,2015-03-23,9712484200.0,12855.0,11775.0,13280.0,13030.0,,74994.0,12970.0,12855.0,232378.0
2015-03-23 10:15:00,2015-03-23,2859366800.0,12920.0,11775.0,13280.0,12985.0,,22086.0,12930.0,12970.0,228946.0
2015-03-23 10:45:00,2015-03-23,1839252900.0,12905.0,11775.0,13280.0,12950.0,,14228.0,12945.0,12930.0,227898.0
2015-03-23 11:00:00,2015-03-23,2068767600.0,12935.0,11775.0,13280.0,12980.0,,15968.0,12960.0,12945.0,228644.0
2015-03-23 11:15:00,2015-03-23,5929176400.0,12945.0,11775.0,13280.0,13080.0,,45556.0,12990.0,12960.0,228602.0
2015-03-23 11:30:00,2015-03-23,2799435700.0,12955.0,11775.0,13280.0,12995.0,,21572.0,12970.0,12995.0,225452.0
2015-03-23 13:45:00,2015-03-23,2390126400.0,12935.0,11775.0,13280.0,12970.0,,18450.0,12960.0,12965.0,225158.0
2015-03-23 14:00:00,2015-03-23,1520258000.0,12920.0,11775.0,13280.0,12970.0,,11746.0,12935.0,12960.0,224584.0
2015-03-23 14:15:00,2015-03-23,1499110700.0,12930.0,11775.0,13280.0,12980.0,,11570.0,12960.0,12935.0,224872.0
2015-03-23 14:30:00,2015-03-23,1705488100.0,12955.0,11775.0,13280.0,13000.0,,13142.0,12990.0,12960.0,226178.0
2015-03-23 14:45:00,2015-03-23,3220258500.0,12925.0,11775.0,13280.0,13010.0,,24850.0,12935.0,12990.0,225344.0
