,open,close,high,low,volume,money
2016-01-12 10:29:00,8.75,8.72,8.77,8.68,7528542.0,65680219.0
2016-01-12 10:59:00,8.72,8.68,8.77,8.62,10903193.0,94613001.0
2016-01-12 11:29:00,8.68,8.73,8.74,8.66,5183307.0,45112360.0
2016-01-12 13:29:00,8.73,8.73,8.77,8.69,4860098.0,42461575.0
2016-01-12 13:59:00,8.73,8.72,8.77,8.7,5204684.0,45475996.0
2016-01-12 14:29:00,8.72,8.81,8.82,8.67,10012768.0,87625799.0
2016-01-12 14:59:00,8.81,8.76,8.81,8.75,10477807.0,91991306.0
2016-01-13 09:59:00,8.75,8.81,8.82,8.75,8668416.0,76254747.0
2016-01-13 10:29:00,8.81,8.82,8.85,8.77,7112176.0,62703399.0
2016-01-13 10:59:00,8.81,8.81,8.83,8.79,3024510.0,26648661.0
2016-01-13 11:29:00,8.81,8.81,8.83,8.78,3357605.0,29561976.0
2016-01-13 13:29:00,8.81,8.77,8.81,8.76,5295118.0,46492617.0
2016-01-13 13:59:00,8.78,8.77,8.8,8.75,5004779.0,43906620.0
2016-01-13 14:29:00,8.76,8.74,8.79,8.73,4631407.0,40558975.0
2016-01-13 14:59:00,8.74,8.68,8.74,8.66,10948042.0,95227211.0
2016-01-14 09:59:00,8.67,8.56,8.67,8.48,19643144.0,167918111.0
2016-01-14 10:29:00,8.55,8.56,8.6,8.55,10802375.0,92494929.0
2016-01-14 10:59:00,8.56,8.54,8.6,8.5,10408376.0,88918138.0
2016-01-14 11:29:00,8.53,8.6,8.61,8.51,5967111.0,51193531.0
2016-01-14 13:29:00,8.6,8.64,8.64,8.56,3968809.0,34137846.0
2016-01-14 13:59:00,8.64,8.65,8.73,8.62,10480900.0,90971011.0
2016-01-14 14:29:00,8.64,8.64,8.73,8.61,10112720.0,87756797.0
2016-01-14 14:59:00,8.66,8.72,8.73,8.64,10911965.0,94945964.0
2016-01-15 09:59:00,8.72,8.72,8.72,8.63,9382037.0,81390808.0
2016-01-15 10:29:00,8.72,8.67,8.74,8.65,5354054.0,46558538.0
2016-01-15 10:59:00,8.68,8.65,8.68,8.63,5797969.0,50128329.0
2016-01-15 11:29:00,8.66,8.61,8.68,8.61,3120513.0,26956194.0
2016-01-15 13:29:00,8.6,8.51,8.62,8.5,9225010.0,78901264.0
2016-01-15 13:59:00,8.51,8.58,8.58,8.51,5509360.0,47005179.0
2016-01-15 14:29:00,8.58,8.48,8.58,8.46,8959871.0,76184527.0
2016-01-15 14:59:00,8.47,8.46,8.53,8.43,8132579.0,68901579.0
2016-01-18 09:59:00,8.47,8.49,8.51,8.36,10588018.0,89443749.0
2016-01-18 10:29:00,8.48,8.5,8.55,8.47,5811806.0,49416290.0
2016-01-18 10:59:00,8.5,8.44,8.5,8.42,6398795.0,54027257.0
2016-01-18 11:29:00,8.44,8.44,8.46,8.39,6651949.0,55987824.0
2016-01-18 13:29:00,8.44,8.5,8.51,8.41,5784750.0,49014934.0
2016-01-18 13:59:00,8.5,8.47,8.54,8.47,4467950.0,37993420.0
2016-01-18 14:29:00,8.48,8.43,8.52,8.41,6216188.0,52667444.0
2016-01-18 14:59:00,8.43,8.43,8.47,8.4,6009735.0,50659886.0
2016-01-19 09:59:00,8.43,8.49,8.5,8.43,7623549.0,64462607.0
2016-01-19 10:29:00,8.49,8.46,8.5,8.46,5198380.0,44113553.0
2016-01-19 10:59:00,8.46,8.45,8.49,8.44,3043663.0,25748613.0
2016-01-19 11:29:00,8.44,8.53,8.54,8.43,5915098.0,50125878.0
2016-01-19 13:29:00,8.53,8.68,8.69,8.52,16575017.0,142986683.0
2016-01-19 13:59:00,8.68,8.68,8.73,8.65,12113615.0,105295021.0
2016-01-19 14:29:00,8.68,8.65,8.7,8.64,5861846.0,50793838.0
2016-01-19 14:59:00,8.65,8.67,8.68,8.64,5884702.0,51004404.0
2016-01-20 09:59:00,8.67,8.68,8.71,8.63,12742485.0,110591248.0
2016-01-20 10:29:00,8.69,8.68,8.74,8.66,10535261.0,91681553.0
2016-01-20 10:59:00,8.68,8.62,8.69,8.62,8226102.0,71265261.0
2016-01-20 11:29:00,8.62,8.54,8.65,8.51,10502766.0,90173863.0
2016-01-20 13:29:00,8.55,8.51,8.55,8.48,10416528.0,88657643.0
2016-01-20 13:59:00,8.51,8.52,8.55,8.45,11638316.0,98911045.0
2016-01-20 14:29:00,8.53,8.51,8.54,8.48,4721971.0,40185025.0
2016-01-20 14:59:00,8.52,8.54,8.56,8.51,5572986.0,47555558.0
2016-01-21 09:59:00,8.53,8.51,8.55,8.45,10842405.0,92188969.0
2016-01-21 10:29:00,8.51,8.51,8.53,8.48,4966724.0,42226810.0
2016-01-21 10:59:00,8.5,8.54,8.55,8.48,5872470.0,49972223.0
2016-01-21 11:29:00,8.54,8.64,8.69,8.53,15730060.0,135674315.0
2016-01-21 13:29:00,8.64,8.56,8.65,8.56,8060424.0,69321201.0
2016-01-21 13:59:00,8.56,8.47,8.57,8.46,11181182.0,95018812.0
2016-01-21 14:29:00,8.46,8.44,8.51,8.44,6499487.0,55068618.0
2016-01-21 14:59:00,8.44,8.39,8.49,8.37,11228129.0,94531418.0
2016-01-22 09:59:00,8.35,8.38,8.46,8.34,14863478.0,124746494.0
2016-01-22 10:29:00,8.38,8.4,8.42,8.35,4118426.0,34566985.0
2016-01-22 10:59:00,8.41,8.39,8.43,8.37,3999695.0,33575118.0
2016-01-22 11:29:00,8.39,8.33,8.4,8.27,9978792.0,83010044.0
2016-01-22 13:29:00,8.31,8.39,8.4,8.3,7156281.0,59688282.0
2016-01-22 13:59:00,8.39,8.4,8.42,8.35,5359735.0,44937546.0
2016-01-22 14:29:00,8.4,8.39,8.46,8.35,8056223.0,67731578.0
2016-01-22 14:59:00,8.39,8.41,8.41,8.36,4654387.0,39046275.0
2016-01-25 09:59:00,8.42,8.44,8.45,8.4,8349778.0,70319239.0
2016-01-25 10:29:00,8.44,8.38,8.44,8.36,7659748.0,64417227.0
2016-01-25 10:59:00,8.38,8.4,8.43,8.38,4739142.0,39827543.0
2016-01-25 11:29:00,8.4,8.41,8.43,8.39,7671363.0,64513266.0
2016-01-25 13:29:00,8.42,8.4,8.42,8.39,4581618.0,38478277.0
2016-01-25 13:59:00,8.39,8.39,8.4,8.37,5091263.0,42673853.0
2016-01-25 14:29:00,8.39,8.37,8.39,8.36,3688716.0,30898118.0
2016-01-25 14:59:00,8.37,8.39,8.39,8.37,4844531.0,40619529.0
2016-01-26 09:59:00,8.39,8.3,8.39,8.29,8708569.0,72513726.0
2016-01-26 10:29:00,8.29,8.29,8.31,8.26,6515796.0,53966841.0
2016-01-26 10:59:00,8.29,8.3,8.33,8.27,3155971.0,26176029.0
2016-01-26 11:29:00,8.31,8.28,8.33,8.28,4674528.0,38793207.0
2016-01-26 13:29:00,8.28,8.24,8.28,8.22,8084025.0,66709337.0
2016-01-26 13:59:00,8.24,8.2,8.25,8.17,9686592.0,79408057.0
2016-01-26 14:29:00,8.2,8.09,8.21,8.06,16753054.0,135967255.0
2016-01-26 14:59:00,8.1,7.98,8.1,7.98,21532351.0,172889946.0
2016-01-27 09:59:00,7.99,7.96,8.07,7.95,12247045.0,98187799.0
2016-01-27 10:29:00,7.97,7.98,8.0,7.93,9697590.0,77203711.0
2016-01-27 10:59:00,7.97,7.96,8.0,7.94,6955143.0,55383070.0
2016-01-27 11:29:00,7.96,7.88,7.97,7.87,8714127.0,69098707.0
2016-01-27 13:29:00,7.87,7.88,7.91,7.78,11835876.0,92774811.0
2016-01-27 13:59:00,7.89,7.94,8.0,7.87,7405238.0,58767606.0
2016-01-27 14:29:00,7.94,8.0,8.02,7.88,8813586.0,70103889.0
2016-01-27 14:59:00,8.01,8.0,8.01,7.96,5494902.0,43888730.0
2016-01-28 09:59:00,8.0,7.98,8.0,7.9,6025551.0,47913827.0
2016-01-28 10:29:00,7.98,7.97,8.0,7.96,3500800.0,27929264.0
2016-01-28 10:59:00,7.97,7.97,7.98,7.92,3150162.0,25053925.0
2016-01-28 11:29:00,7.97,7.96,7.99,7.95,1757257.0,14004739.0
2016-01-28 13:29:00,7.96,7.95,7.96,7.92,2348074.0,18642248.0
2016-01-28 13:59:00,7.95,7.93,7.97,7.9,4355149.0,34513709.0
2016-01-28 14:29:00,7.92,7.95,7.96,7.92,4490065.0,35670321.0
2016-01-28 14:59:00,7.95,7.83,7.95,7.81,11397519.0,89656798.0
2016-01-29 09:59:00,7.84,7.92,7.96,7.84,8501495.0,67230394.0
2016-01-29 10:29:00,7.92,8.0,8.02,7.89,9104671.0,72540989.0
2016-01-29 10:59:00,8.0,8.05,8.05,7.99,8597989.0,69005704.0
2016-01-29 11:29:00,8.05,8.0,8.05,8.0,6084359.0,48819473.0
